   0.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   0.2500 3.9330e+06 1.9827e+06 6.1519e+06 2.1410e+06 5.9160e+06 3.1634e+06 4.9287e+06
   0.5000 7.5767e+06 3.8684e+06 1.1748e+07 4.1745e+06 1.1287e+07 6.1015e+06 9.4824e+06
   0.7500 1.0919e+07 5.6408e+06 1.6797e+07 6.0793e+06 1.6133e+07 8.8122e+06 1.3632e+07
   1.0000 1.3878e+07 7.2630e+06 2.1176e+07 7.8142e+06 2.0339e+07 1.1235e+07 1.7271e+07
   1.2500 1.6397e+07 8.7050e+06 2.4808e+07 9.3470e+06 2.3833e+07 1.3320e+07 2.0327e+07
   1.5000 1.8450e+07 9.9479e+06 2.7682e+07 1.0658e+07 2.6606e+07 1.5047e+07 2.2775e+07
   1.7500 2.0040e+07 1.0983e+07 2.9838e+07 1.1740e+07 2.8698e+07 1.6414e+07 2.4626e+07
   2.0000 2.1188e+07 1.1807e+07 3.1334e+07 1.2592e+07 3.0166e+07 1.7432e+07 2.5914e+07
   2.2500 2.1927e+07 1.2426e+07 3.2239e+07 1.3220e+07 3.1075e+07 1.8123e+07 2.6685e+07
   2.5000 2.2294e+07 1.2850e+07 3.2628e+07 1.3640e+07 3.1497e+07 1.8515e+07 2.6996e+07
   2.7500 2.2338e+07 1.3094e+07 3.2573e+07 1.3866e+07 3.1496e+07 1.8642e+07 2.6910e+07
   3.0000 2.2107e+07 1.3174e+07 3.2144e+07 1.3916e+07 3.1135e+07 1.8541e+07 2.6492e+07
   3.2500 2.1647e+07 1.3108e+07 3.1406e+07 1.3815e+07 3.0476e+07 1.8245e+07 2.5803e+07
   3.5000 2.1001e+07 1.2919e+07 3.0419e+07 1.3584e+07 2.9574e+07 1.7789e+07 2.4899e+07
   3.7500 2.0213e+07 1.2625e+07 2.9240e+07 1.3247e+07 2.8481e+07 1.7206e+07 2.3838e+07
   4.0000 1.9320e+07 1.2247e+07 2.7919e+07 1.2823e+07 2.7242e+07 1.6525e+07 2.2665e+07
   4.2500 1.8355e+07 1.1805e+07 2.6501e+07 1.2334e+07 2.5901e+07 1.5776e+07 2.1423e+07
   4.5000 1.7348e+07 1.1316e+07 2.5027e+07 1.1799e+07 2.4498e+07 1.4981e+07 2.0148e+07
   4.7500 1.6324e+07 1.0794e+07 2.3529e+07 1.1234e+07 2.3066e+07 1.4162e+07 1.8866e+07
   5.0000 1.5303e+07 1.0253e+07 2.2037e+07 1.0652e+07 2.1633e+07 1.3335e+07 1.7603e+07
   5.2500 1.4300e+07 9.7053e+06 2.0573e+07 1.0066e+07 2.0220e+07 1.2515e+07 1.6375e+07
   5.5000 1.3328e+07 9.1591e+06 1.9153e+07 9.4849e+06 1.8845e+07 1.1712e+07 1.5196e+07
   5.7500 1.2394e+07 8.6209e+06 1.7790e+07 8.9144e+06 1.7522e+07 1.0935e+07 1.4073e+07
   6.0000 1.1506e+07 8.0960e+06 1.6492e+07 8.3600e+06 1.6259e+07 1.0190e+07 1.3012e+07
   6.2500 1.0665e+07 7.5879e+06 1.5266e+07 7.8253e+06 1.5063e+07 9.4803e+06 1.2017e+07
   6.5000 9.8758e+06 7.1000e+06 1.4115e+07 7.3133e+06 1.3938e+07 8.8088e+06 1.1088e+07
   6.7500 9.1370e+06 6.6345e+06 1.3038e+07 6.8262e+06 1.2883e+07 8.1766e+06 1.0224e+07
   7.0000 8.4484e+06 6.1750e+06 1.2034e+07 6.3457e+06 1.1900e+07 7.5840e+06 9.4231e+06
   7.2500 7.8086e+06 5.7197e+06 1.1103e+07 5.8700e+06 1.0985e+07 7.0305e+06 8.6832e+06
   7.5000 7.2157e+06 5.2967e+06 1.0241e+07 5.4293e+06 1.0137e+07 6.5149e+06 8.0009e+06
   7.7500 6.6674e+06 4.9047e+06 9.4442e+06 5.0217e+06 9.3531e+06 6.0359e+06 7.3729e+06
   8.0000 6.1612e+06 4.5419e+06 8.7096e+06 4.6453e+06 8.6294e+06 5.5917e+06 6.7956e+06
   8.2500 5.6944e+06 4.2066e+06 8.0332e+06 4.2982e+06 7.9624e+06 5.1805e+06 6.2654e+06
   8.5000 5.2644e+06 3.8971e+06 7.4109e+06 3.9783e+06 7.3484e+06 4.8003e+06 5.7789e+06
   8.7500 4.8686e+06 3.6116e+06 6.8390e+06 3.6838e+06 6.7836e+06 4.4490e+06 5.3327e+06
   9.0000 4.5044e+06 3.3484e+06 6.3137e+06 3.4126e+06 6.2645e+06 4.1247e+06 4.9235e+06
   9.2500 4.1695e+06 3.1059e+06 5.8313e+06 3.1630e+06 5.7876e+06 3.8255e+06 4.5483e+06
   9.5000 3.8615e+06 2.8823e+06 5.3885e+06 2.9333e+06 5.3495e+06 3.5496e+06 4.2044e+06
   9.7500 3.5783e+06 2.6763e+06 4.9821e+06 2.7220e+06 4.9472e+06 3.2951e+06 3.8890e+06
  10.0000 3.3178e+06 2.4865e+06 4.6089e+06 2.5273e+06 4.5778e+06 3.0604e+06 3.5996e+06
  10.2500 3.0780e+06 2.3114e+06 4.2662e+06 2.3481e+06 4.2383e+06 2.8439e+06 3.3340e+06
  10.5000 2.8574e+06 2.1500e+06 3.9515e+06 2.1830e+06 3.9264e+06 2.6441e+06 3.0902e+06
  10.7500 2.6544e+06 2.0012e+06 3.6622e+06 2.0308e+06 3.6397e+06 2.4599e+06 2.8662e+06
  11.0000 2.4673e+06 1.8638e+06 3.3964e+06 1.8905e+06 3.3761e+06 2.2898e+06 2.6604e+06
